Timestamp,Actual Grade,Predicted Grade
7/5/2017 17:41:55,37,40
7/5/2017 17:44:35,40,40
7/5/2017 17:45:44,26,37
7/5/2017 17:45:51,37,37
7/5/2017 17:50:52,42,35
7/5/2017 17:51:10,37,37
7/5/2017 17:51:22,32,41
7/5/2017 17:51:37,42,33
7/5/2017 17:51:43,29,27
7/5/2017 17:51:45,44,43
7/5/2017 17:53:55,30,36
7/5/2017 17:55:55,23,21
7/5/2017 17:56:23,24,34
7/5/2017 17:56:36,22,35
7/5/2017 17:56:48,24,42
7/5/2017 17:57:28,22,30
7/5/2017 17:57:33,22,32
7/5/2017 17:57:47,23,41
7/5/2017 17:58:12,21,30
7/5/2017 17:58:53,26,35
7/5/2017 17:58:58,22,33
7/5/2017 17:59:10,19,38
7/5/2017 17:59:18,24,37
7/5/2017 17:59:23,21,35
7/5/2017 17:59:29,43,41
7/5/2017 17:59:35,23,22
7/5/2017 17:59:43,25,33
7/5/2017 17:59:50,18,22
7/5/2017 18:00:25,37,43
7/5/2017 18:00:55,23,29
7/5/2017 18:01:01,22,34
7/5/2017 18:01:09,20,36
7/5/2017 18:01:10,31,29
7/5/2017 18:01:18,23,43
7/5/2017 18:01:24,30,32
7/5/2017 18:01:29,32,30
7/5/2017 18:01:36,22,34
7/5/2017 18:01:43,21,32
7/5/2017 18:01:46,21,45
7/5/2017 18:01:52,23,30
7/5/2017 18:02:00,26,30
7/5/2017 18:02:35,38,38
7/5/2017 18:14:07,34,38
7/5/2017 18:14:55,30,35
7/5/2017 18:14:59,27,36
7/5/2017 18:20:07,36,42
7/5/2017 18:21:53,33,35
7/5/2017 18:22:30,41,42
7/5/2017 18:29:45,45,21
7/5/2017 18:29:45,45,21
7/5/2017 18:36:16,33,38
7/5/2017 18:36:35,35,38
7/5/2017 18:37:13,41,44
7/5/2017 18:43:51,31,38
7/5/2017 18:49:20,36,39
7/5/2017 18:51:16,42,23
7/5/2017 18:56:02,36,38
7/5/2017 18:59:46,42,43
7/5/2017 18:59:49,39,38
7/5/2017 19:01:08,97,98
7/5/2017 19:01:30,43,99
7/5/2017 19:01:32,41,43
7/5/2017 19:01:42,43,43
7/5/2017 19:03:14,44,45
7/5/2017 19:05:02,27,37
7/5/2017 19:09:48,39,43
7/5/2017 19:10:15,31,35
7/5/2017 19:10:32,44,43
7/5/2017 19:10:42,40,43
7/5/2017 19:10:52,39,42
7/5/2017 19:11:03,34,41
7/5/2017 19:11:13,37,42
7/5/2017 19:11:13,37,33
7/5/2017 19:12:17,24,45
7/5/2017 19:12:50,39,40
7/5/2017 19:14:03,26,36
7/5/2017 19:14:09,46,49
7/5/2017 19:20:01,67,80
7/5/2017 19:20:25,38,38
7/5/2017 19:26:51,41,42
7/5/2017 19:37:12,33,37
7/5/2017 19:46:17,39,40
7/5/2017 19:47:38,33,36
7/5/2017 19:54:05,44,38
7/5/2017 19:56:20,29,38
7/5/2017 19:58:46,4,4
7/5/2017 20:06:47,42,43
7/5/2017 20:07:16,46,47
7/5/2017 20:09:50,35,35
7/5/2017 20:14:39,44,43
7/5/2017 20:21:38,25,33
7/5/2017 20:21:46,33,37
7/5/2017 20:23:23,34,43
7/5/2017 20:25:06,45,24
7/5/2017 20:26:57,40,43
7/5/2017 20:26:57,46,46
7/5/2017 20:32:53,45,45
7/5/2017 20:35:33,45,45
7/5/2017 20:40:54,24,24
7/5/2017 20:42:57,25,35
7/5/2017 20:48:41,38,45
7/5/2017 20:50:23,45,27
7/5/2017 20:51:48,37,37
7/5/2017 20:55:19,39,41
7/5/2017 20:56:09,37,33
7/5/2017 20:56:09,37,33
7/5/2017 21:01:44,41,41
7/5/2017 21:06:12,38,43
7/5/2017 21:08:44,32,37
7/5/2017 21:08:46,44,45
7/5/2017 21:12:04,39,36
7/5/2017 21:12:04,39,36
7/5/2017 21:19:06,9,11
7/5/2017 21:19:48,42,33
7/5/2017 21:21:25,7,5
7/5/2017 21:23:16,37,39
7/5/2017 21:24:31,37,39
7/5/2017 21:31:13,44,39
7/5/2017 21:37:05,24,39
7/5/2017 21:39:12,6,5
7/5/2017 21:41:51,39,42
7/5/2017 21:43:15,22,27
7/5/2017 21:50:35,33,28
7/5/2017 21:55:12,36,32
7/5/2017 21:58:30,32,26
7/5/2017 22:00:11,41,42
7/5/2017 22:12:39,36,44
7/5/2017 22:18:24,44,42
7/5/2017 22:19:05,42,45
7/5/2017 22:23:03,5,5
7/5/2017 22:24:25,41,43
7/5/2017 22:26:13,37,34
7/5/2017 22:27:54,40,40
7/5/2017 22:28:04,41,43
7/5/2017 22:28:30,41,43
7/5/2017 22:34:42,40,38
7/5/2017 22:36:37,4,4
7/5/2017 22:37:11,29,26
7/5/2017 22:38:41,40,40
7/5/2017 22:42:19,45,45
7/5/2017 22:45:50,38,40
7/5/2017 22:49:45,40,41
7/5/2017 22:53:38,37,41
7/5/2017 22:53:46,33,36
